p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RASGEF1C	0	0.713522527277929	0.737	0.457	0	0	RASGEF1C
PRDM11	0	0.68784872435997	0.354	0.169	0	0	PRDM11
P2RY12	0	0.686955941083539	0.819	0.536	0	0	P2RY12
GRID2	0	0.614086953810815	0.573	0.433	0	0	GRID2
SYNDIG1	0	0.5892957983911	0.894	0.687	0	0	SYNDIG1
KHDRBS3	0	0.579544547177778	0.717	0.499	0	0	KHDRBS3
FOXP2	0	0.570628591989301	0.833	0.588	0	0	FOXP2
CX3CR1	0	0.565483649952576	0.623	0.381	0	0	CX3CR1
TANC1	0	0.556160608184964	0.508	0.299	0	0	TANC1
ST6GALNAC3	0	0.547341439066722	0.909	0.725	0	0	ST6GALNAC3
PTCHD4	0	0.510070341618645	0.286	0.157	0	0	PTCHD4
KBTBD12	0	0.50709149317678	0.436	0.239	0	0	KBTBD12
P3H2	0	0.498510237015867	0.454	0.261	0	0	P3H2
HS3ST4	0	0.485342788750422	0.961	0.831	0	0	HS3ST4
NAV3	0	0.453736165005987	0.942	0.793	0	0	NAV3
KCNIP1	0	0.447190569771756	0.641	0.449	0	0	KCNIP1
IL6ST	0	0.437863860010998	0.802	0.602	0	0	IL6ST
TIAM1	0	0.434481200223563	0.733	0.528	0	0	TIAM1
MRC1	0	0.431058037532878	0.325	0.189	0	0	MRC1
PIP5K1B	0	0.430130406208155	0.402	0.236	0	0	PIP5K1B
CPED1	0	0.429469543545603	0.812	0.607	0	0	CPED1
SDK1	0	0.427936444646504	0.79	0.599	0	0	SDK1
TLN2	0	0.42472473978794	0.716	0.502	0	0	TLN2
C12orf75	0	0.419990937530634	0.385	0.224	0	0	C12orf75
CSGALNACT1	0	0.417381996202995	0.899	0.74	0	0	CSGALNACT1
C4orf19	0	0.414874104864936	0.255	0.127	0	0	C4orf19
FRMD4A	0	0.412030392555	0.999	0.98	0	0	FRMD4A
NAV2	0	0.408409667269406	0.371	0.253	0	0	NAV2
BLNK	0	0.407047775241422	0.827	0.633	0	0	BLNK
ABCC4	0	0.396756252672597	0.888	0.729	0	0	ABCC4
OXR1	0	0.395617902065261	0.877	0.748	0	0	OXR1
ANKRD44	0	0.393726715515252	0.981	0.899	0	0	ANKRD44
KLF12	0	0.382360409057229	0.256	0.144	0	0	KLF12
CACNA1A	0	0.373937200735785	0.684	0.51	0	0	CACNA1A
SLC15A2	0	0.369942650197199	0.452	0.293	0	0	SLC15A2
IFNGR1	0	0.354335700701324	0.742	0.575	0	0	IFNGR1
TMEM156	0	0.353190252876718	0.638	0.458	0	0	TMEM156
NLRP1	0	0.352861665586738	0.506	0.326	0	0	NLRP1
DEPTOR	0	0.350237473461193	0.439	0.287	0	0	DEPTOR
DIP2A	0	0.347740948666211	0.655	0.484	0	0	DIP2A
RTTN	0	0.346430255232677	0.526	0.391	0	0	RTTN
SESN3	0	0.341483761091597	0.423	0.27	0	0	SESN3
PGM5	0	0.339945632763089	0.626	0.449	0	0	PGM5
ADAMTSL2	0	0.338950983820551	0.331	0.19	0	0	ADAMTSL2
EML1	0	0.335047900735944	0.322	0.191	0	0	EML1
TBC1D4	0	0.332722736588363	0.632	0.461	0	0	TBC1D4
LPAR1	0	0.33098600614988	0.445	0.297	0	0	LPAR1
TENM4	0	0.329777070364805	0.624	0.458	0	0	TENM4
APPL2	0	0.328232882406893	0.713	0.546	0	0	APPL2
ARHGAP22	0	0.326185383426718	0.934	0.808	0	0	ARHGAP22
PSMA1	0	0.320441522299673	0.558	0.399	0	0	PSMA1
RASSF8	0	0.320440325574426	0.723	0.57	0	0	RASSF8
CARD11	0	0.317661321407568	0.576	0.408	0	0	CARD11
DSCAM	0	0.315839330599066	0.654	0.515	0	0	DSCAM
DOCK8	0	0.309701482431363	0.99	0.936	0	0	DOCK8
MCF2L	0	0.308825347575586	0.761	0.587	0	0	MCF2L
ITPR2	0	0.306597801377498	0.989	0.939	0	0	ITPR2
SORL1	0	0.304430026116421	0.978	0.898	0	0	SORL1
KIF26B	0	0.302237861418539	0.316	0.201	0	0	KIF26B
FAM149A	0	0.299623067428286	0.768	0.583	0	0	FAM149A
CYFIP1	0	0.287157457480942	0.915	0.791	0	0	CYFIP1
PLCL1	0	0.286568190742995	0.385	0.279	0	0	PLCL1
SHTN1	0	0.284673413040147	0.834	0.687	0	0	SHTN1
SLC4A7	0	0.283750345714574	0.776	0.627	0	0	SLC4A7
USP53	0	0.279021702422499	0.693	0.532	0	0	USP53
OSBPL6	0	0.277283931673082	0.309	0.2	0	0	OSBPL6
GARNL3	0	0.276307245271733	0.451	0.321	0	0	GARNL3
FOXN3	0	0.273091755345725	0.992	0.945	0	0	FOXN3
SRGAP2B	0	0.272022808652437	0.923	0.803	0	0	SRGAP2B
A2M	0	0.271627210037108	0.693	0.517	0	0	A2M
RIN2	0	0.271252136594772	0.658	0.501	0	0	RIN2
HDAC9	0	0.270635668378093	0.89	0.757	0	0	HDAC9
PLD1	0	0.269013523489685	0.464	0.329	0	0	PLD1
SSBP2	0	0.266488807850718	0.719	0.581	0	0	SSBP2
MAP4K4	0	0.264794431719255	0.885	0.762	0	0	MAP4K4
SOCS6	0	0.263632861453427	0.651	0.492	0	0	SOCS6
IGSF21	0	0.263436739730689	0.788	0.627	0	0	IGSF21
USP6NL	0	0.262808128758331	0.681	0.53	0	0	USP6NL
CCDC50	0	0.258419085362889	0.438	0.309	0	0	CCDC50
LPXN	0	0.257343025896785	0.302	0.194	0	0	LPXN
ATP8B4	0	0.256228195928312	0.927	0.813	0	0	ATP8B4
HPGDS	0	0.255330007006438	0.332	0.22	0	0	HPGDS
